year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2003.7372,12.89,,,
2003.7642,17.79,,,
2003.7643,,20.98,,
2003.7914,21.59,19.48,,
2003.8186,,19.28,,
2003.8187,24.99,,,
2003.8457,24.89,18.38,,
2003.8708,,16.78,,
2003.8728,14.59,,,
2003.9,15.39,,,
2003.9112,,13.08,,
2003.9271,18.79,,,
2003.9272,,17.38,,
2003.9543,21.79,15.98,,
2003.9813,20.39,,,
2003.9815,,11.58,,
2004.0086,12.29,10.98,,
2004.0358,8.89,,,
2004.0359,,14.58,,
2004.0628,,12.68,,
2004.0629,6.99,,,
2004.0898,8.89,,,
2004.0901,,10.48,,
2004.1135,,3.98,,
2004.1173,13.49,,,
2004.1443,10.19,,,
2004.1489,,8.08,,
2004.1715,12.39,8.68,,
2004.1986,4.89,7.58,,
2004.2258,6.99,,,
2004.2259,,7.88,,
2004.2513,,9.78,,
2004.2531,13.49,,,
2004.2801,14.69,6.78,,
2004.3073,,9.98,,
2004.3075,18.09,,,
2004.3343,11.69,,,
2004.3344,,5.18,,
2004.3615,9.29,5.38,,
2004.3884,7.09,,,
2004.3886,,4.48,,
2004.4158,,8.18,,
2004.4429,,7.68,,
2004.4702,,6.48,,
2004.4728,13.79,,,
2004.4971,8.69,,,
2004.4973,,10.88,,
2004.5226,5.09,,,
2004.5244,,10.78,,
2004.5497,3.99,,,
2004.5516,,9.68,,
2004.5771,5.89,,,
2004.5787,,7.98,,
2004.606,,10.58,,
2004.6063,14.89,,,
2004.633,,14.48,,
2004.6331,17.89,,,
2004.6601,,15.38,,
2004.6602,16.09,,,
2004.687,12.29,,,
2004.6873,,18.28,,
2004.7143,17.09,,,
2004.7145,,22.28,,
2004.7416,,18.78,,
2004.7417,14.29,,,
2004.7686,25.09,,,
2004.7687,,21.08,,
2004.7959,,22.58,,
2004.796,23.39,,,
2004.8231,18.49,,,
2004.8232,,21.18,,
2004.8502,16.39,21.48,,
2004.8773,16.39,,,
2004.8774,,21.18,,
2004.9044,,15.08,,
2004.9045,15.29,,,
2004.9317,,17.58,,
2004.9318,21.69,,,
2004.9541,18.29,,,
2004.959,,17.58,,
2004.9859,14.79,,,
2004.986,,22.48,,
2005.0129,2.99,,,
2005.0131,,16.38,,
2005.0401,5.39,,,
2005.0402,,14.58,,
2005.0675,11.09,15.68,,
2005.0945,16.39,13.88,,
2005.1217,12.79,13.88,,
2005.1488,5.19,,,
2005.1491,,12.98,,
2005.1759,8.19,15.98,,
2005.2031,,14.08,,
2005.2033,6.89,,,
2005.2301,,8.68,,
2005.2303,6.99,,,
2005.2574,9.99,9.18,,
2005.2844,,13.98,,
2005.2847,13.49,,,
2005.3106,3.49,,,
2005.3117,,11.08,,
2005.3389,,12.18,,
2005.3394,4.49,,,
2005.3659,7.79,,,
2005.366,,11.98,,
2005.3932,11.79,,,
2005.3933,,10.98,,
2005.42,8.39,,,
2005.4203,,11.38,,
2005.4474,7.69,12.68,,
2005.4745,3.19,,,
2005.4746,,13.18,,
2005.5017,1.39,12.78,,
2005.5289,,15.78,,
2005.5291,6.89,,,
2005.556,,12.88,,
2005.5561,11.19,,,
2005.5831,15.69,,,
2005.5833,,15.68,,
2005.6102,15.29,,,
2005.6103,,14.78,,
2005.6376,,16.98,,
2005.6377,11.09,,,
2005.6646,,20.18,,
2005.6647,11.09,,,
2005.6917,17.49,,,
2005.6918,,22.38,,
2005.7137,,22.88,,
2005.719,23.69,,,
2005.7462,23.29,,,
2005.7511,,24.08,,
2005.7656,23.89,,,
2005.7734,,25.48,,
2005.8004,,24.68,,
2005.8275,,25.18,,
2005.8547,,27.98,,
2005.8818,,26.88,,
2005.9091,,24.58,,
2005.9362,,24.48,,
2005.9633,,24.18,,
2005.9906,,23.28,,
2006.0176,,20.28,,
2006.0447,,14.58,,
2006.0719,,16.18,,
2006.0991,,15.98,,
2006.1262,,14.18,,
2006.1535,,13.68,,
2006.1804,,14.18,,
2006.2076,,9.58,,
2006.2347,,13.08,,
2006.2619,,11.98,,
2006.289,,11.58,,
2006.3163,,11.38,,
2006.3433,,11.58,,
2006.3705,,14.88,,
2006.3975,,14.88,,
2006.4248,,14.48,,
2006.4519,,14.08,,
2006.4791,,13.68,,
2006.5064,,15.68,,
2006.5334,,16.08,,
2006.5605,,16.28,,
2006.5877,,15.78,,
2006.6148,,14.48,,
2006.642,,19.08,,
2006.6691,,23.08,,
2006.6963,,24.28,,
2006.7235,,26.38,,
2006.7507,,26.38,,
2006.7777,,28.38,,
2006.8049,,28.08,,
2006.8244,,27.68,,
2006.8894,,25.08,,
2006.9135,,23.28,,
2006.9403,,26.68,,
2006.9679,,24.08,,
2006.9949,,21.68,,
2007.022,,17.68,,
2007.0492,,14.98,,
2007.0765,,16.98,,
2007.1035,,14.98,,
2007.1303,,13.78,,
2007.1578,,15.08,,
2007.1849,,12.98,,
2007.2121,,14.18,,
2007.2392,,14.48,,
2007.266,,17.08,,
2007.2935,,16.88,,
2007.3207,,15.88,,
2007.3479,,10.08,,
2007.375,,14.98,,
2007.4022,,16.18,,
2007.4292,,14.08,,
2007.4564,,10.88,,
2007.4836,,11.18,,
2007.5107,,12.58,,
2007.5378,,12.18,,
2007.565,,12.58,,
2007.5921,,15.48,,
2007.6193,,19.98,,
2007.6466,,18.78,,
2007.6736,,18.48,,
2007.7007,,20.08,,
2007.7279,,26.58,,
2007.755,,26.78,,
2007.7822,,25.68,,
2007.8093,,25.98,,
2007.8365,,23.68,,
2007.8637,,26.88,,
2007.8908,,30.88,,
2007.918,,29.08,,
2007.9451,,25.88,,
2007.9723,,19.68,,
2007.9995,,20.28,,
2008.0266,,20.18,,
2008.0537,,22.28,,
2008.0808,,20.88,,
2008.108,,17.78,,
2008.1351,,18.38,,
2008.1623,,14.88,,
2008.1894,,17.68,,
2008.2166,,17.88,,
2008.2437,,16.78,,
2008.2709,,15.18,,
2008.2981,,16.38,,
2008.3253,,16.08,,
2008.3456,,15.18,,
2008.3795,,20.48,,
2008.4066,,20.38,,
2008.4338,,18.18,,
2008.4609,,17.08,,
2008.4881,,19.18,,
2008.5152,,20.78,,
2008.5423,,21.38,,
2008.5425,,,19.74,
2008.5695,,20.38,20.04,
2008.5922,,20.38,,
2008.5968,,,19.34,
2008.6238,,,23.24,
2008.6507,,,23.24,
2008.6509,,20.58,,
2008.6781,,,24.54,
2008.6782,,24.58,,
2008.7052,,24.38,24.74,
2008.7324,,26.98,27.44,
2008.7595,,29.78,28.64,
2008.7867,,29.38,29.74,
2008.8138,,31.88,30.44,
2008.841,,,28.64,
2008.8411,,29.68,,
2008.8681,,32.28,30.44,
2008.8953,,30.98,28.54,
2008.9224,,,32.14,
2008.9225,,33.38,,
2008.9496,,27.28,26.54,
2008.9768,,,23.94,
2008.9769,,24.18,,
2009.0039,,25.08,24.54,
2009.031,,24.68,,
2009.0316,,,24.04,
2009.0582,,22.98,22.54,
2009.0853,,,21.04,
2009.1124,,,18.04,
2009.1267,,17.78,,
2009.1396,,,19.44,
2009.1531,,20.38,,
2009.1667,,,20.24,
2009.1803,,23.28,,
2009.1939,,,20.84,
2009.2074,,23.58,,
2009.221,,,21.14,
2009.2346,,22.88,,
2009.2482,,,20.94,
2009.2618,,21.68,,
2009.2753,,,20.04,
2009.2889,,19.18,,
2009.3025,,,20.54,
2009.316,,21.28,,
2009.3296,,,20.44,
2009.3432,,23.18,,
2009.3567,,,19.74,
2009.3703,,19.28,,
2009.3839,,,18.74,
2009.3975,,19.38,,
2009.4107,,,18.24,
2009.4246,,19.08,,
2009.4382,,,20.34,
2009.4518,,23.08,,
2009.4653,,,21.24,
2009.4789,,20.58,,
2009.4925,,,19.94,
2009.5061,,20.88,,
2009.5197,,,18.74,
2009.5332,,21.58,,
2009.5468,,,21.14,
2009.5604,,25.68,,
2009.574,,,25.84,
2009.5875,,26.08,,
2009.6011,,,23.94,
2009.6147,,25.48,,
2009.6283,,,26.34,
2009.6418,,26.18,,
2009.6554,,,27.94,
2009.669,,29.78,,
2009.6826,,,29.94,
2009.6947,,33.88,,
2009.7097,,,34.04,
2009.736,,30.28,,
2009.7369,,,34.34,
2009.7504,,36.38,,
2009.764,,,34.34,
2009.7776,,35.88,,
2009.7911,,,35.84,
2009.8047,,35.58,,
2009.8184,,,36.34,
2009.8319,,38.18,,
2009.8455,,,35.74,
2009.859,,34.38,,
2009.8726,,,31.74,
2009.8862,,34.48,,
2009.8998,,,33.54,
2009.9133,,34.38,,
2009.9269,,,31.64,
2009.9405,,32.78,,
2009.954,,,28.64,
2009.9676,,32.18,,
2009.9812,,,32.24,
2009.9948,,30.68,,
2010.0084,,,27.94,
2010.0219,,30.68,,
2010.0355,,,26.34,
2010.0491,,26.58,,
2010.0626,,,24.44,
2010.0762,,21.48,,
2010.0898,,,19.94,
2010.1033,,22.58,,
2010.117,,,23.44,
2010.1305,,25.88,,
2010.1441,,,25.24,
2010.1576,,27.58,,
2010.1712,,,28.44,
2010.185,,26.58,,
2010.1983,,,21.84,
2010.212,,22.08,,
2010.2255,,,22.14,
2010.239,,22.08,,
2010.2527,,,21.64,
2010.2655,,21.58,,
2010.2799,,,24.14,
2010.2935,,26.88,,
2010.3069,,,24.14,
2010.3205,,24.18,,
2010.3341,,,21.14,
2010.3477,,22.78,,
2010.3612,,,21.14,
2010.3748,,24.08,,
2010.3884,,,25.24,
2010.4019,,22.38,,
2010.4155,,,25.14,
2010.4277,,23.38,,
2010.4427,,,25.34,
2010.4562,,25.38,,
2010.4698,,,26.04,
2010.4833,,24.18,,
2010.497,,,26.14,
2010.5105,,23.28,,
2010.5242,,,26.54,
2010.5377,,25.68,,
2010.5513,,,27.94,
2010.5639,,26.68,,
2010.5784,,,27.14,
2010.592,,27.78,,
2010.6055,,,26.74,
2010.6192,,31.58,,
2010.6328,,,29.24,
2010.6463,,29.48,,
2010.6599,,,26.84,
2010.6733,,28.98,,
2010.687,,,29.84,
2010.7006,,30.38,,
2010.7142,,,30.44,
2010.7277,,31.08,,
2010.7414,,,30.54,
2010.7549,,30.58,,
2010.7685,,,32.34,
2010.782,,33.38,,
2010.7956,,,35.94,
2010.8092,,37.38,,
2010.8228,,,34.14,
2010.8364,,36.78,,
2010.8499,,,32.94,
2010.8635,,34.08,,
2010.8771,,,33.54,
2010.8906,,29.48,,
2010.9043,,,28.54,
2010.9178,,27.18,,
2010.9314,,,28.74,
2010.9449,,29.08,,
2010.9586,,,27.24,
2010.9721,,29.78,,
2010.9857,,,28.44,
2010.9993,,28.48,,
2011.0129,,,24.94,
2011.0264,,23.88,,
2011.0399,,,23.24,
2011.0536,,22.48,,
2011.0671,,,24.04,
2011.0807,,24.18,,
2011.0943,,,21.74,
2011.1078,,21.28,,
2011.1214,,,19.94,
2011.135,,21.28,,
2011.1486,,,20.14,
2011.1621,,20.98,,
2011.1757,,,20.34,
2011.1892,,19.58,,
2011.2029,,,20.04,
2011.2164,,18.38,,
2011.23,,,17.64,
2011.2436,,18.88,,
2011.2571,,,19.24,
2011.2705,,18.78,,
2011.2843,,,19.34,
2011.2978,,18.48,,
2011.3115,,,18.64,
2011.325,,16.98,,
2011.3386,,,15.64,
2011.3521,,16.98,,
2011.3657,,,19.04,
2011.3793,,16.38,,
2011.3929,,,19.84,
2011.4064,,19.48,,
2011.42,,,19.94,
2011.4336,,20.18,,
2011.4471,,,20.74,
2011.4607,,21.18,,
2011.4743,,,23.44,
2011.4879,,21.38,,
2011.5014,,,22.14,
2011.5151,,20.68,,
2011.5286,,,22.14,
2011.5421,,19.38,,
2011.5558,,,22.24,
2011.5693,,22.48,,
2011.583,,,24.34,
2011.5965,,25.58,,
2011.61,,,28.34,
2011.6236,,25.88,,
2011.6372,,,30.04,
2011.6508,,31.28,,
2011.6644,,,30.84,
2011.6778,,30.38,,
2011.6916,,,30.44,
2011.7051,,27.78,,
2011.7187,,,31.14,
2011.7319,,32.08,,
2011.7459,,,34.44,
2011.7591,,35.08,,
2011.773,,,37.34,
2011.7867,,37.58,,
2011.8002,,,38.74,
2011.8137,,33.78,,
2011.8273,,,34.34,
2011.8408,,33.88,,
2011.8544,,,33.34,
2011.868,,29.78,,
2011.8816,,,33.54,
2011.8952,,33.88,,
2011.9087,,,35.34,
2011.922,,34.08,,
2011.9358,,,34.94,
2011.9495,,33.38,,
2011.9631,,,34.54,
2011.9765,,34.68,,
2011.9902,,,32.94,
2012.0037,,30.48,,
2012.0173,,,33.94,
2012.0309,,30.08,,
2012.0445,,,32.64,
2012.058,,30.58,,
2012.0716,,,33.14,
2012.0849,,30.18,,
2012.0987,,,30.74,
2012.1119,,29.38,,
2012.1258,,,31.54,
2012.127,,28.18,,
2012.1531,,,29.04,
2012.1672,,24.68,,
2012.1802,,,27.94,
2012.2073,,,28.94,
2012.2345,,,30.94,
2012.2616,,,28.54,
2012.2888,,,27.84,
2012.3159,,,27.84,
2012.343,,,28.34,
2012.3645,,31.28,,
2012.3702,,,30.34,
2012.3944,,28.98,,
2012.3973,,,29.44,
2012.4242,,31.18,,
2012.4245,,,28.84,
2012.4517,,,32.64,
2012.454,,33.58,,
2012.4745,,30.98,,
2012.4788,,,31.44,
2012.4949,,32.78,,
2012.506,,,31.64,
2012.5247,,34.18,,
2012.5331,,,35.74,
2012.5546,,37.88,,
2012.5603,,,38.04,
2012.5844,,36.58,,
2012.5874,,,37.24,
2012.6048,,40.18,,
2012.6145,,,38.14,
2012.6252,,36.88,,
2012.6417,,,35.64,
2012.6552,,37.98,,
2012.6688,,,39.74,
2012.6849,,39.88,,
2012.6961,,,40.04,
2012.7147,,42.98,,
2012.7232,,,44.64,
2012.735,,42.58,,
2012.7503,,,45.44,
2012.7555,,46.08,,
2012.7775,,,47.44,
2012.7852,,45.98,,
2012.8046,,,44.94,
2012.8151,,44.58,,
2012.8318,,,44.24,
2012.8355,,45.48,,
2012.8559,,48.48,,
2012.8589,,,45.74,
2012.8858,,47.18,,
2012.8861,,,45.24,
2012.9132,,,42.94,
2012.9156,,43.68,,
2012.9404,,,44.84,
2012.9454,,43.28,,
2012.9658,,39.08,,
2012.9675,,,40.84,
2012.9862,,38.58,,
2012.9946,,,40.54,
2013.0162,,40.88,,
2013.0218,,,39.54,
2013.0459,,38.18,,
2013.0489,,,38.54,
2013.0758,,41.28,,
2013.0761,,,39.84,
2013.0961,,38.08,,
2013.1031,,,38.34,
2013.1167,,38.18,,
2013.1304,,,35.24,
2013.1464,,36.38,,
2013.1575,,,36.54,
2013.1846,,,37.74,
2013.2118,,,36.24,
2013.2196,,32.98,,
2013.2265,,34.48,,
2013.2469,,35.58,,
2013.2765,,32.18,,
2013.2933,,,33.34,
2013.3066,,29.48,,
2013.3204,,,35.74,
2013.3269,,30.38,,
2013.3473,,36.78,,
2013.3475,,,35.84,
2013.3747,,,33.54,
2013.3771,,36.38,,
2013.4018,,,32.74,
2013.407,,34.88,,
2013.429,,,32.64,
2013.4368,,30.68,,
2013.4561,,,31.54,
2013.4572,,27.08,,
2013.4833,,,33.44,
2013.5104,,,33.04,
2013.5376,,,33.64,
2013.5648,,,36.24,
2013.5919,,,37.24,
2013.619,,,34.34,
2013.6462,,,35.84,
2013.6696,,,40.74,
2013.7071,,,38.34,
2013.7276,,,41.04,
2013.7548,,,43.04,
2013.7819,,,44.04,
2013.8091,,,47.34,
2013.8362,,,48.64,
2013.8634,,,46.24,
2013.8905,,,44.64,
2013.9177,,,42.84,
2013.9448,,,39.34,
2013.972,,,40.14,
2013.9992,,,40.34,
2014.0263,,,39.14,
2014.0534,,,38.24,
2014.0806,,,35.44,
2014.1077,,,36.74,
2014.1349,,,38.74,
2014.162,,,38.04,
2014.1891,,,38.04,
2014.2163,,,36.54,
2014.2435,,,36.04,
2014.2705,,,36.24,
2014.2978,,,36.14,
2014.3249,,,33.64,
2014.352,,,33.14,
2014.3791,,,33.14,
2014.4063,,,34.04,
2014.4334,,,33.14,
2014.4606,,,35.54,
2014.4878,,,37.44,
2014.5149,,,38.94,
2014.5421,,,39.44,
2014.5692,,,37.64,
2014.5964,,,40.84,
2014.6235,,,43.84,
2014.6507,,,45.54,
2014.6777,,,46.44,
2014.705,,,47.34,
2014.7321,,,45.54,
2014.7593,,,48.44,
2014.7864,,,52.24,
2014.8136,,,51.94,
2014.8407,,,49.14,
2014.8679,,,48.64,
2014.895,,,44.44,
2014.9222,,,44.84,
2014.9493,,,52.04,
2014.9776,,,48.34,
2015.0036,,,43.34,
2015.0308,,,45.44,
2015.0579,,,44.34,
2015.085,,,45.44,
2015.1122,,,45.24,
2015.1394,,,46.84,
2015.1664,,,45.44,
2015.1936,,,43.74,
2015.2207,,,43.14,
2015.2479,,,44.14,
2015.275,,,45.04,
2015.3023,,,44.14,
2015.3293,,,43.34,
